2021-09-21 23:51:15 UTC Syncing #13272193 0x379f…248b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5583251 LI:#13272212    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:51:16 UTC Syncing #13272193 0x379f…248b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5583251 LI:#13272213    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:51:26 UTC Syncing #13272194 0x7b23…bc52     0.10 blk/s   18.7 tx/s    1.7 Mgas/s      0+   18 Qed Ancient:#5583252 LI:#13272213    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:51:26 UTC Syncing #13272194 0x7b23…bc52     0.20 blk/s   37.4 tx/s    3.4 Mgas/s      0+   18 Qed Ancient:#5583252 LI:#13272213    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:51:33 UTC Syncing #13272194 0x7b23…bc52     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5583252 LI:#13272214    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:51:36 UTC Syncing #13272195 0xdf31…b98b     0.20 blk/s   47.0 tx/s    3.2 Mgas/s      0+   18 Qed Ancient:#5583253 LI:#13272214    5/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:51:47 UTC Syncing #13272195 0xdf31…b98b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5583253 LI:#13272214    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:51:47 UTC Syncing #13272195 0xdf31…b98b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5583253 LI:#13272214    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:51:54 UTC Syncing #13272196 0x34ba…346a     0.20 blk/s   88.0 tx/s    3.9 Mgas/s      0+   18 Qed Ancient:#5583254 LI:#13272215    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:51:56 UTC Syncing #13272196 0x34ba…346a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5583254 LI:#13272215    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:09 UTC Syncing #13272197 0xe495…e30a     0.10 blk/s   17.1 tx/s    1.3 Mgas/s      0+   17 Qed Ancient:#5583255 LI:#13272215    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:09 UTC Syncing #13272197 0xe495…e30a     0.20 blk/s   34.2 tx/s    2.6 Mgas/s      0+   17 Qed Ancient:#5583255 LI:#13272215    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
