2021-09-22 03:34:38 UTC Syncing #13273164 0x0b31…b63b     0.23 blk/s   92.9 tx/s    6.9 Mgas/s      0+   11 Qed Ancient:#5681467 LI:#13273176   24/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:38 UTC Syncing #13273164 0x0b31…b63b     0.11 blk/s   43.4 tx/s    3.2 Mgas/s      0+   11 Qed Ancient:#5681467 LI:#13273176   24/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:42 UTC Syncing #13273164 0x0b31…b63b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5681467 LI:#13273176   20/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:51 UTC Syncing #13273165 0x4544…d848     0.10 blk/s   24.6 tx/s    2.7 Mgas/s      0+   10 Qed Ancient:#5681469 LI:#13273176   19/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:51 UTC Syncing #13273165 0x4544…d848     0.20 blk/s   49.2 tx/s    5.3 Mgas/s      0+   10 Qed Ancient:#5681469 LI:#13273176   19/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:34:57 UTC Syncing #13273166 0xedfe…d6c2     0.20 blk/s   55.6 tx/s    4.0 Mgas/s      0+   10 Qed Ancient:#5681470 LI:#13273177   19/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:00 UTC Syncing #13273166 0xedfe…d6c2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5681470 LI:#13273177   19/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:06 UTC Syncing #13273167 0xbd33…9b25     0.20 blk/s   19.2 tx/s    1.6 Mgas/s      0+    9 Qed Ancient:#5681471 LI:#13273177   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:10 UTC Syncing #13273167 0xbd33…9b25     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5681471 LI:#13273178   19/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:15 UTC Syncing #13273167 0xbd33…9b25     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5681471 LI:#13273179   19/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:20 UTC Syncing #13273167 0xbd33…9b25     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681471 LI:#13273180   21/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:29 UTC Syncing #13273168 0x9327…9952     0.20 blk/s   68.6 tx/s    5.8 Mgas/s      0+   11 Qed Ancient:#5681473 LI:#13273180   21/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:30 UTC Syncing #13273168 0x9327…9952     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5681473 LI:#13273180   21/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:37 UTC Syncing #13273169 0xe0d4…b8ba     0.20 blk/s   33.6 tx/s    2.4 Mgas/s      0+   10 Qed Ancient:#5681474 LI:#13273180   21/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:40 UTC Syncing #13273169 0xe0d4…b8ba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5681474 LI:#13273181   21/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:49 UTC Syncing #13273169 0xe0d4…b8ba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5681474 LI:#13273181   23/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:50 UTC Syncing #13273169 0xe0d4…b8ba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681474 LI:#13273182   21/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:35:55 UTC Syncing #13273169 0xe0d4…b8ba     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681474 LI:#13273183   22/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:36:06 UTC Syncing #13273170 0xedaf…e28f     0.10 blk/s   39.4 tx/s    3.0 Mgas/s      0+   12 Qed Ancient:#5681475 LI:#13273183   24/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:36:06 UTC Syncing #13273170 0xedaf…e28f     0.20 blk/s   78.8 tx/s    5.9 Mgas/s      0+   12 Qed Ancient:#5681475 LI:#13273183   24/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:36:10 UTC Syncing #13273170 0xedaf…e28f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681475 LI:#13273184   26/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:36:37 UTC Syncing #13273170 0xedaf…e28f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681475 LI:#13273186   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:36:37 UTC Syncing #13273170 0xedaf…e28f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681475 LI:#13273184   26/50 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
